 ENERGY RELATIVELY TO THE GROUND STATE: FISSION BARRIER
         r         e       der
     77.00     -1.72     -0.04
     77.10     -1.73     -0.04
     77.20     -1.73     -0.04
     77.30     -1.74     -0.04
     77.40     -1.74     -0.04
     77.50     -1.74     -0.04
     77.60     -1.75     -0.04
     77.70     -1.75     -0.04
     77.80     -1.76     -0.04
     77.90     -1.76     -0.04
     78.00     -1.76     -0.04
     78.10     -1.77     -0.04
     78.20     -1.77     -0.04
     78.30     -1.77     -0.04
     78.40     -1.78     -0.04
     78.50     -1.78     -0.04
     78.60     -1.79     -0.04
     78.70     -1.79     -0.04
     78.80     -1.79     -0.04
     78.90     -1.80     -0.04
     79.00     -1.80     -0.04
     79.10     -1.81     -0.04
     79.20     -1.81     -0.04
     79.30     -1.81     -0.04
     79.40     -1.82     -0.04
     79.50     -1.82     -0.04
     79.60     -1.82     -0.04
     79.70     -1.83     -0.04
     79.80     -1.83     -0.04
     79.90     -1.84     -0.04
     80.00     -1.84     -0.04
     80.10     -1.84     -0.04
     80.20     -1.85     -0.04
     80.30     -1.85     -0.04
     80.40     -1.85     -0.04
     80.50     -1.86     -0.04
     80.60     -1.86     -0.04
     80.70     -1.86     -0.04
     80.80     -1.87     -0.04
     80.90     -1.87     -0.04
     81.00     -1.88     -0.04
     81.10     -1.88     -0.04
     81.20     -1.88     -0.04
     81.30     -1.89     -0.04
     81.40     -1.89     -0.04
     81.50     -1.89     -0.04
     81.60     -1.90     -0.04
     81.70     -1.90     -0.04
     81.80     -1.90     -0.04
     81.90     -1.91     -0.04
     82.00     -1.91     -0.04
     82.10     -1.91     -0.04
     82.20     -1.92     -0.03
     82.30     -1.92     -0.03
     82.40     -1.92     -0.03
     82.50     -1.93     -0.03
     82.60     -1.93     -0.03
     82.70     -1.94     -0.03
     82.80     -1.94     -0.03
     82.90     -1.94     -0.03
     83.00     -1.95     -0.03
     83.10     -1.95     -0.03
     83.20     -1.95     -0.03
     83.30     -1.96     -0.03
     83.40     -1.96     -0.03
     83.50     -1.96     -0.03
     83.60     -1.97     -0.03
     83.70     -1.97     -0.03
     83.80     -1.97     -0.03
     83.90     -1.98     -0.03
     84.00     -1.98     -0.03
     84.10     -1.98     -0.03
     84.20     -1.99     -0.03
     84.30     -1.99     -0.03
     84.40     -1.99     -0.03
     84.50     -2.00     -0.03
     84.60     -2.00     -0.03
     84.70     -2.00     -0.03
     84.80     -2.01     -0.03
     84.90     -2.01     -0.03
     85.00     -2.01     -0.03
     85.10     -2.02     -0.03
     85.20     -2.02     -0.03
     85.30     -2.02     -0.03
     85.40     -2.03     -0.03
